Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS▼,Player-additional
150,Dennis Schröder,PG,29,LAL,41,38,1265,160,389,.411,49,145,.338,111,244,.455,.474,125,142,.880,13,97,110,166,31,5,68,94,494,schrode01
151,AJ Griffin,SF,19,ATL,51,11,1057,191,393,.486,82,201,.408,109,192,.568,.590,24,26,.923,23,82,105,54,38,7,32,62,488,griffaj01
152,Josh Hart,SF,27,POR,51,51,1704,183,363,.504,34,112,.304,149,251,.594,.551,87,119,.731,95,322,417,200,54,9,79,133,487,hartjo01
153,Doug McDermott,SF,31,SAS,49,0,1002,179,388,.461,89,216,.412,90,172,.523,.576,38,51,.745,14,94,108,72,9,6,45,84,485,mcderdo01
154,Monte Morris,PG,27,WAS,46,46,1301,184,386,.477,63,158,.399,121,228,.531,.558,50,63,.794,18,134,152,248,34,8,45,65,481,morrimo01
155,Josh Richardson,SG,29,SAS,42,6,997,177,406,.436,74,207,.357,103,199,.518,.527,53,60,.883,30,89,119,137,40,11,63,70,481,richajo01
156,Royce O'Neale,SF,29,BRK,51,51,1745,167,419,.399,116,288,.403,51,131,.389,.537,30,42,.714,35,213,248,204,44,38,87,161,480,onealro01
157,Santi Aldama,PF,22,MEM,51,18,1125,170,354,.480,68,185,.368,102,169,.604,.576,70,96,.729,53,187,240,63,34,36,38,99,478,aldamsa01
158,Chris Paul,PG,37,PHO,35,35,1113,164,380,.432,59,152,.388,105,228,.461,.509,90,109,.826,13,137,150,306,51,16,71,84,477,paulch01
159,Tari Eason,PF,21,HOU,55,3,1065,185,419,.442,38,108,.352,147,311,.473,.487,68,86,.791,126,186,312,50,58,32,59,118,476,easonta01
160,Quentin Grimes,SG,22,NYK,45,40,1373,168,371,.453,85,240,.354,83,131,.634,.567,53,65,.815,39,119,158,91,31,18,49,119,474,grimequ01
161,Deni Avdija,SF,22,WAS,52,32,1372,168,389,.432,48,160,.300,120,229,.524,.494,89,118,.754,55,272,327,128,46,26,76,153,473,avdijde01
